Matrix size;Blocks;Threads per block;Total time;Operations time;
1024;16320;64;0.126631;0.005774;
256;32258;2;0.086949;0.000243;
256;16129;4;0.090181;0.000191;
256;8064;8;0.079653;0.000195;
256;4032;16;0.079269;0.000205;
256;2016;32;0.086811;0.000400;
256;1008;64;0.077098;0.000193;
512;130050;2;0.093957;0.000807;
512;65025;4;0.088005;0.001561;
512;32512;8;0.091237;0.000781;
512;16256;16;0.081245;0.001510;
512;8128;32;0.090008;0.000880;
512;4064;64;0.090721;0.000957;
1024;522242;2;0.100298;0.002897;
1024;261121;4;0.107745;0.005747;
1024;130560;8;0.097887;0.005941;
1024;65280;16;0.105274;0.002910;
1024;32640;32;0.077243;0.003020;
1024;16320;64;0.092276;0.002890;
2048;2093058;2;0.142275;0.011844;
2048;1046529;4;0.140821;0.011425;
2048;523264;8;0.147067;0.022103;
2048;261632;16;0.132635;0.011299;
2048;130816;32;0.153704;0.011705;
2048;65408;64;0.156993;0.021818;
4096;8380418;2;0.316732;0.058341;
4096;4190209;4;0.289620;0.046715;
4096;2095104;8;0.260469;0.046766;
4096;1047552;16;0.310200;0.069676;
4096;523776;32;0.295136;0.053405;
4096;261888;64;0.364415;0.069358;
256;64516;1;0.087664;0.000417;
512;260100;1;0.072253;0.001142;
1024;1044484;1;0.083531;0.006766;
2048;4186116;1;0.136709;0.011679;
4096;16760836;1;0.313367;0.081381;
